id,餐廳名稱,餐廳評價,餐廳地址,餐廳連結
46,巧之味手工水餃,4.5,臺北市中正區濟南路二段6號,https://ifoodie.tw/restaurant/559d1509c03a103ee86c3b87-%E5%B7%A7%E4%B9%8B%E5%91%B3%E6%89%8B%E5%B7%A5%E6%B0%B4%E9%A4%83
47,阿薄郎薄皮餃子台式小酒館-台北二郎公館店 Uncle A-Bo-Lang Taiwan Bistro,4.2,臺北市中正區汀州路三段96號,https://ifoodie.tw/restaurant/62fa4a267cc7fc20fa1be87d-%E9%98%BF%E8%96%84%E9%83%8E%E8%96%84%E7%9A%AE%E9%A4%83%E5%AD%90%E5%8F%B0%E5%BC%8F%E5%B0%8F%E9%85%92%E9%A4%A8-%E5%8F%B0%E5%8C%97%E4%BA%8C%E9%83%8E%E5%85%AC%E9%A4%A8%E5%BA%97
48,Bar M,4.5,台北市中正區羅斯福路二段20號,https://ifoodie.tw/restaurant/5d8d6d2c2261391eb2cbc9ea-Bar-M
49,抹More,4.6,臺北市中正區寧波西街221號一樓,https://ifoodie.tw/restaurant/5d6bd3fb2756dd2f103ac621-%E6%8A%B9More
50,早澤,4.1,臺北市中正區齊東街68號,https://ifoodie.tw/restaurant/586e0856699b6e2c5c6a9eb5-%E6%97%A9%E6%BE%A4
51,以馬內利鮮魚湯,4.4,臺北市中正區杭州南路一段3號,https://ifoodie.tw/restaurant/559da2c3c03a103ee86c9339-%E4%BB%A5%E9%A6%AC%E5%85%A7%E5%88%A9%E9%AE%AE%E9%AD%9A%E6%B9%AF
52,麵屋雞金,4.4,臺北市中正區新生南路一段6號1樓,https://ifoodie.tw/restaurant/60c4c9d8873d7970aaded772-%E9%BA%B5%E5%B1%8B%E9%9B%9E%E9%87%91
53,小魏川菜餐廳,4.1,臺北市中正區公園路13號3樓,https://ifoodie.tw/restaurant/55a530a8c03a10241de65010-%E5%B0%8F%E9%AD%8F%E5%B7%9D%E8%8F%9C%E9%A4%90%E5%BB%B3
54,農人餐桌 親子餐廳,4.1,台北市重慶南路二段51號,https://ifoodie.tw/restaurant/56f188c72756dd2c2bf09942-%E8%BE%B2%E4%BA%BA%E9%A4%90%E6%A1%8C-%E8%A6%AA%E5%AD%90%E9%A4%90%E5%BB%B3
55,台大胖妞冰店,4.4,臺北市中正區林森南路。徐州路18巷口,https://ifoodie.tw/restaurant/63247a047cc7fc29b4ded441-%E5%8F%B0%E5%A4%A7%E8%83%96%E5%A6%9E%E5%86%B0%E5%BA%97
