address,distance,latitude_longitude
臺北市中正區中華路一段91巷15號,"正門:1830公尺,後門:1791公尺,側門:1903公尺","25.0378876,121.508031"
臺北市中正區師大路177號,"正門:2369公尺,後門:2503公尺,側門:2459公尺","25.02067,121.526735"
臺北市中正區羅斯福路四段80號,"正門:3224公尺,後門:3370公尺,側門:3298公尺","25.0141602,121.5346822"
臺北市中正區忠孝東路一段108號2樓,"正門:234公尺,後門:90公尺,側門:183公尺","25.043898,121.524815"
臺北市中正區金華街30巷1號,"正門:1274公尺,後門:1369公尺,側門:1377公尺","25.0313307,121.5208675"
臺北市中正區思源街1號『公館水岸廣場』,"正門:3427公尺,後門:3562公尺,側門:3514公尺","25.0112512,121.5284012"
臺北市中正區同安街16號,"正門:1879公尺,後門:1995公尺,側門:1978公尺","25.025303,121.5223845"
臺北市中正區汀州路一段90號,"正門:2246公尺,後門:2262公尺,側門:2341公尺","25.0302335,121.5074704"
台北市中正區羅斯福路四段108巷2號,"正門:3335公尺,後門:3482公尺,側門:3408公尺","25.0132934,121.5353407"
臺北市中正區衡陽路84巷5號,"正門:1484公尺,後門:1410公尺,側門:1536公尺","25.0420479,121.5109083"
臺北市中正區北平西路3號2樓,"正門:1084公尺,後門:946公尺,側門:1075公尺","25.0477467,121.5169983"
臺北市中正區忠孝西路一段36號和億北車站B1F,"正門:986公尺,後門:860公尺,側門:994公尺","25.0460066,121.5169442"
臺北市中正區忠孝東路二段27號,"正門:312公尺,後門:313公尺,側門:214公尺","25.043916,121.527809"
臺北市中正區萬大路86號,"正門:2847公尺,後門:2839公尺,側門:2934公尺","25.030482,121.5003764"
台北市中正區金門街2-2號,"正門:2094公尺,後門:2222公尺,側門:2188公尺","25.0231297,121.5248452"
臺北市中正區青島東路6之2號,"正門:412公尺,後門:291公尺,側門:425公尺","25.0437017,121.5220376"
臺北市中正區仁愛路一段17號,"正門:462公尺,後門:512公尺,側門:561公尺","25.0391392,121.5222359"
臺北市中正區廈門街94號,"正門:2146公尺,後門:2238公尺,側門:2250公尺","25.0241662,121.51736"
臺北市中正區青島東路3之2號,"正門:375公尺,後門:246公尺,側門:381公尺","25.0438201,121.5225368"
臺北市中正區齊東街76號,"正門:203公尺,後門:319公尺,側門:189公尺","25.0417384,121.5276255"
臺北市中正區羅斯福路四段136巷10號,"正門:3413公尺,後門:3559公尺,側門:3486公尺","25.0125938,121.5354431"
臺北市中正區八德路一段82巷9弄22號,"正門:616公尺,後門:672公尺,側門:547公尺","25.0434556,121.5314877"
臺北市中正區濟南路二段3號之八,"正門:102公尺,後門:241公尺,側門:137公尺","25.0415863,121.52656"
臺北市中正區中華路二段313巷6號,"正門:2494公尺,後門:2516公尺,側門:2590公尺","25.0281299,121.5061454"
臺北市中正區羅斯福路四段24巷5號,"正門:3050公尺,後門:3194公尺,側門:3127公尺","25.0153269,121.5328445"
臺北市中正區泉州街32之2號,"正門:2153公尺,後門:2219公尺,側門:2256公尺","25.0259953,121.5135301"
臺北市中正區青島東路3號之3,"正門:470公尺,後門:344公尺,側門:479公尺","25.0440657,121.5216022"
臺北市中正區忠孝西路一段38號B1樓,"正門:1045公尺,後門:919公尺,側門:1053公尺","25.0462341,121.5164145"
臺北市中正區中華路二段313巷10號,"正門:2481公尺,後門:2503公尺,側門:2577公尺","25.0282027,121.5062395"
台北市八德路一段1號,"正門:400公尺,後門:450公尺,側門:326公尺","25.0432788,121.5293005"
臺北市中正區中華路二段311巷4號,"正門:2502公尺,後門:2522公尺,側門:2598公尺","25.0283108,121.5058832"
臺北市中正區南昌路一段64號,"正門:1468公尺,後門:1533公尺,側門:1572公尺","25.0312586,121.5170622"
臺北市中正區忠孝西路一段38號,"正門:1052公尺,後門:928公尺,側門:1062公尺","25.0460991,121.5162582"
台北市中正區忠孝東路二段104號2樓,"正門:523公尺,後門:597公尺,側門:466公尺","25.0426694,121.5307428"
臺北市中正區市民大道一段100號臺北地下街Y22入口處,"正門:1473公尺,後門:1336公尺,側門:1466公尺","25.0495017,121.5136386"
臺北市中正區思源街16號,"正門:3154公尺,後門:3290公尺,側門:3241公尺","25.0137039,121.5283471"
臺北市中正區汀州路三段239號,"正門:3233公尺,後門:3379公尺,側門:3309公尺","25.01392,121.534102"
臺北市中正區青島東路25之2號,"正門:191公尺,後門:42公尺,側門:173公尺","25.043342,121.5245359"
臺北市中正區羅斯福路三段284巷11號一樓,"正門:2939公尺,後門:3082公尺,側門:3018公尺","25.0161115,121.5317046"
臺北市中正區汀州路三段104巷9號,"正門:3219公尺,後門:3364公尺,側門:3296公尺","25.0138878,121.5334094"
臺北市中正區忠孝東路一段12號,"正門:436公尺,後門:293公尺,側門:423公尺","25.0445802,121.5224401"
臺北市中正區羅斯福路一段24號,"正門:1338公尺,後門:1416公尺,側門:1442公尺","25.0315867,121.5188579"
臺北市中正區濟南路二段58之3號,"正門:653公尺,後門:774公尺,側門:641公尺","25.0401596,121.5317959"
臺北市中正區金門街2之3號,"正門:2267公尺,後門:2389公尺,側門:2364公尺","25.0216899,121.523113"
臺北市中正區忠孝西路一段38號,"正門:1052公尺,後門:928公尺,側門:1062公尺","25.0460991,121.5162582"
臺北市中正區北平西路3號,"正門:1137公尺,後門:1004公尺,側門:1136公尺","25.0473199,121.5160463"
臺北市中正區忠孝東路二段40號,"正門:294公尺,後門:325公尺,側門:207公尺","25.0433978,121.5280424"
臺北市中正區羅斯福路三段316巷8弄3之1號,"正門:3014公尺,後門:3158公尺,側門:3092公尺","25.0156061,121.5326131"
臺北市中正區濟南路二段62巷3號,"正門:694公尺,後門:817公尺,側門:685公尺","25.03982,121.5320925"
臺北市中正區北平西路3號微風臺北車站店2樓,"正門:1083公尺,後門:947公尺,側門:1078公尺","25.0473866,121.5167338"
臺北市中正區忠孝東路一段108號1樓,"正門:235公尺,後門:94公尺,側門:181公尺","25.0439297,121.52488"
臺北市中正區信陽街30號,"正門:1075公尺,後門:971公尺,側門:1104公尺","25.0445044,121.5153424"
臺北市中正區晉江街1號,"正門:1786公尺,後門:1894公尺,側門:1887公尺","25.0264156,121.5211193"
臺北市中正區羅斯福路四段52巷1之1號,"正門:3127公尺,後門:3272公尺,側門:3203公尺","25.0147431,121.5334062"
臺北市中正區羅斯福路三段244巷10弄14號,"正門:2945公尺,後門:3087公尺,側門:3025公尺","25.0159906,121.5313533"
臺北市中正區杭州南路一段143巷12之1號,"正門:667公尺,後門:798公尺,側門:761公尺","25.0359438,121.5254682"
臺北市中正區杭州南路二段88號,"正門:1445公尺,後門:1553公尺,側門:1547公尺","25.0294057,121.5218533"
臺北市中正區重慶南路一段46巷7號,"正門:1343公尺,後門:1243公尺,側門:1376公尺","25.044524,121.5126185"
臺北市中正區武昌街一段5號2樓,"正門:1319公尺,後門:1222公尺,側門:1355公尺","25.044216,121.512783"
臺北市中正區汀州路三段221號,"正門:3207公尺,後門:3353公尺,側門:3283公尺","25.014104,121.533866"
臺北市中正區羅斯福路三段316巷9弄1號,"正門:3002公尺,後門:3145公尺,側門:3081公尺","25.0155646,121.5318506"
臺北市中正區開封街一段90號,"正門:1598公尺,後門:1490公尺,側門:1625公尺","25.0459023,121.5103926"
臺北市中正區羅斯福路四段108巷8之1號,"正門:3343公尺,後門:3489公尺,側門:3417公尺","25.0131352,121.5350312"
臺北市中正區羅斯福路二段66巷16號,"正門:1671公尺,後門:1777公尺,側門:1773公尺","25.0274835,121.5211246"
臺北市中正區信陽街26之1號,"正門:1061公尺,後門:957公尺,側門:1090公尺","25.0444759,121.5154778"
臺北市中正區忠孝東路一段148號,"正門:233公尺,後門:134公尺,側門:148公尺","25.0440206,121.5256897"
臺北市中正區中華路二段313巷35號,"正門:2395公尺,後門:2416公尺,側門:2491公尺","25.0288315,121.5067818"
臺北市中正區金山南路一段35號,"正門:424公尺,後門:563公尺,側門:442公尺","25.03989,121.5291646"
台北市中正區汀州路三段168號,"正門:3315公尺,後門:3461公尺,側門:3390公尺","25.0132791,121.5345966"
臺北市中正區羅斯福路三段244巷13號,"正門:2847公尺,後門:2988公尺,側門:2928公尺","25.0167608,121.5306069"
臺北市中正區青島東路23號,"正門:213公尺,後門:66公尺,側門:199公尺","25.0434214,121.5242942"
臺北市中正區金門街1之6號,"正門:2319公尺,後門:2440公尺,側門:2415公尺","25.0212346,121.5230208"
臺北市大安區樂利路33號,"正門:3087公尺,後門:3223公尺,側門:3094公尺","25.0272534,121.5515855"
台北市中正區忠孝西路一段49號B1,"正門:1047公尺,後門:907公尺,側門:1035公尺","25.0477952,121.5175009"
臺北市中正區忠孝東路二段102號,"正門:511公尺,後門:582公尺,側門:452公尺","25.0427722,121.5305971"
臺北市中正區中華路二段427號,"正門:2494公尺,後門:2541公尺,側門:2596公尺","25.0253749,121.5089564"
中山北路一段121巷13-2號,"正門:1049公尺,後門:909公尺,側門:971公尺","25.0511966,121.5237236"
臺北市中正區中華路二段307巷15號,"正門:2466公尺,後門:2481公尺,側門:2560公尺","25.029153,121.5056461"
臺北市中正區重慶南路一段100號,"正門:1268公尺,後門:1188公尺,側門:1316公尺","25.042622,121.513072"
臺北市中正區羅斯福路四段24巷12弄4號,"正門:3088公尺,後門:3232公尺,側門:3165公尺","25.0149813,121.5328707"
臺北市中正區中華路二段1號1樓,"正門:1991公尺,後門:1963公尺,側門:2069公尺","25.0362632,121.5068994"
臺北市中正區汀州路二段323號,"正門:2272公尺,後門:2400公尺,側門:2365公尺","25.0215302,121.5249982"
臺北市中正區汀州路二段82號,"正門:2004公尺,後門:2102公尺,側門:2107公尺","25.0250058,121.5188577"
臺北市中正區羅斯福路四段52巷16弄4號,"正門:3167公尺,後門:3312公尺,側門:3243公尺","25.0144253,121.5336442"
臺北市中正區館前路12號6樓,"正門:1174公尺,後門:1059公尺,側門:1194公尺","25.0456618,121.5147282"
臺北市中正區青島東路21之4號善導寺捷運站,"正門:225公尺,後門:81公尺,側門:214公尺","25.04344,121.5241354"
臺北市中正區延平南路61號2樓,"正門:1562公尺,後門:1464公尺,側門:1597公尺","25.0446526,121.5104239"
臺北市中正區羅斯福路三段286巷12號,"正門:2965公尺,後門:3109公尺,側門:3044公尺","25.0159912,121.5323101"
臺北市中正區愛國西路50之4號一樓,"正門:1924公尺,後門:1894公尺,側門:2001公尺","25.0367215,121.5074307"
臺北市中正區中華路二段307巷20之3號,"正門:2454公尺,後門:2470公尺,側門:2548公尺","25.0290439,121.5058841"
臺北市中正區汀州路三段92號,"正門:3132公尺,後門:3276公尺,側門:3210公尺","25.0145493,121.5327671"
台北市中正區汀洲路三段210號,"正門:3473公尺,後門:3620公尺,側門:3547公尺","25.0120475,121.5355231"
臺北市中正區仁愛路二段94號,"正門:734公尺,後門:877公尺,側門:757公尺","25.0379156,121.531396"
