store_name,address,Latitude,Longitude
午冬甜點工作室,臺北市大安區樂利路33號,25.0272534,121.5515855
酷覓星-誠品站前店 世界美食評鑑伴手禮,台北市中正區忠孝西路一段49號B1,25.0477952,121.5175009
振頤軒 忠孝新生門市,臺北市中正區忠孝東路二段102號,25.0427722,121.5305971
廣州餐廳,臺北市中正區中華路二段427號,25.0253749,121.5089564
肥前屋,中山北路一段121巷13-2號,25.0511966,121.5237236
南機場汕頭乾麵,臺北市中正區中華路二段307巷15號,25.029153,121.5056461
Dicos德克士脆皮炸雞 台北重慶南店,臺北市中正區重慶南路一段100號,25.042622,121.513072
YU POKÉ-夏威夷生魚飯,臺北市中正區羅斯福路四段24巷12弄4號,25.0149813,121.5328707
饗聚廚房 台北花園大酒店,臺北市中正區中華路二段1號1樓,25.0362632,121.5068994
職業吃漢 食硏所,臺北市中正區汀州路二段323號,25.0215302,121.5249982
潮·雞·派,臺北市中正區汀州路二段82號,25.0250058,121.5188577
鴉片粉圓,臺北市中正區羅斯福路四段52巷16弄4號,25.0144253,121.5336442
欣葉日本料理自助餐聽,臺北市中正區館前路12號6樓,25.0456618,121.5147282
Petit France 小法國餐館,臺北市中正區青島東路21之4號善導寺捷運站,25.04344,121.5241354
東一排骨總店,臺北市中正區延平南路61號2樓,25.0446526,121.5104239
公館阿姨滷味,臺北市中正區羅斯福路三段286巷12號,25.0159912,121.5323101
吸手吃早午餐,臺北市中正區愛國西路50之4號一樓,25.0367215,121.5074307
山內雞肉,臺北市中正區中華路二段307巷20之3號,25.0290439,121.5058841
和牛涮樂日式涮涮鍋 公館店,臺北市中正區汀州路三段92號,25.0145493,121.5327671
公館活蝦,台北市中正區汀洲路三段210號,25.0120475,121.5355231
山海樓,臺北市中正區仁愛路二段94號,25.0379156,121.531396
池先生 Kopitiam 公館店,臺北市中正區羅斯福路三段284巷10號,25.015967,121.531804
鐘予原味當歸鴨 公館店,臺北市中正區汀州路三段81號,25.0176908,121.5287425
大嗑西式餐館,臺北市中正區濟南路二段18之3號,25.0410911,121.5265497
